Brand,MC,NSU,NSV,GST Value,NSV-GST,Gross Sales,MRP,SP,DIS,DIS%,Month,Year,ZONE_EAST,ZONE_NORTH,ZONE_SOUTH
11524,117.90690865789054,373.0,16390.57,779.81,15610.76,16470.0,44.15549598,43.94254692,0.2129490599999997,0.48,9,3,1,0,0
2365,117.90690865789054,154.0,14914.67,0.0,14914.67,14950.0,97.07792208,96.84850649,0.2294155899999879,0.24,6,3,0,1,0
1138,117.90690865789054,99.0,9195.79,437.52,8758.27,9406.0,95.01010101,92.88676768,2.123333329999994,2.23,1,2,0,0,1
11524,117.90690865789054,2633.0,52692.54,2499.98,50192.56,85236.0,32.37219901,20.01235853,12.359840480000003,38.18,12,2,0,1,0
4778,117.90690865789054,4924.427,451435.73,0.0,451435.73,453974.45,92.18827896,91.67274284,0.5155361200000073,0.56,2,1,0,1,0
1138,117.90690865789054,220.0,12340.25,587.34,11752.91,14348.75,65.22159091,56.09204545,9.129545460000003,14.0,8,3,0,0,0
1659,117.90690865789054,747.0,144842.69,6893.24,137949.45,145406.21,194.6535609,193.8991834,0.7543775000000039,0.39,9,3,0,0,0
1064,117.90690865789054,4856.0,95741.25,0.0,95741.25,97939.0,20.16865733,19.7160729,0.45258442999999815,2.24,8,3,1,0,0
11524,117.90690865789054,54.0,2444.12,115.97,2328.15,2445.0,45.27777778,45.26148148,0.016296300000000485,0.04,6,3,0,0,0
11524,117.90690865789054,6342.0,173723.45,8252.91,165470.54,176060.2,27.76099022,27.3925339,0.36845631999999995,1.33,2,2,0,0,1
2365,76.64376263993722,500.0,9418.93,447.27,8971.66,10001.0,20.002,18.83786,1.1641399999999997,5.82,3,2,0,1,0
4778,117.90690865789054,1.09,52.32,0.0,52.32,52.32,48.0,48.0,0.0,0.0,9,2,0,0,1
1925,117.90690865789054,3.0,0.65,0.03,0.62,112.0,37.33333333,0.216666667,37.116666663000004,99.42,4,3,0,0,1
11524,71.18682077486139,6315.0,160029.37,7607.46,152421.91,163208.87,25.844635,25.34115123,0.503483769999999,1.95,6,3,0,0,1
227,117.90690865789054,1505.0,123097.3,13185.29,109912.01000000001,124845.0,82.95348837,81.79222591,1.1612624600000032,1.4,8,3,0,0,0
4778,117.90690865789054,295.952,16347.52,0.0,16347.52,16470.39,55.65223415,55.23706547,0.41516868000000073,0.75,3,2,0,1,0
11524,117.90690865789054,152.0,71295.39,3359.4,67935.99,71901.0,473.0328947,469.0486184,3.9842762999999763,0.84,9,2,0,0,1
4778,93.0577977632887,6192.81,458204.18,0.0,458204.18,464183.11,74.95516736,73.98970419,0.9654631700000067,1.29,10,1,0,0,0
1925,117.90690865789054,3.0,18.6,0.87,17.73,18.6,6.2,6.2,0.0,0.0,4,3,0,0,1
4778,82.28465887439981,674.45,3063.11,145.65,2917.46,20939.92,31.04740159,4.541641337,26.505760253,85.37,2,1,0,0,1
2365,93.76835692634786,59.0,5830.73,0.0,5830.73,5841.0,99.0,98.8259322,0.1740678000000031,0.18,1,2,1,0,0
1138,79.09845432894527,140.0,22692.94,1080.37,21612.57,24515.0,175.1071429,162.0924286,13.014714300000009,7.43,12,2,0,1,0
11524,61.307577213867056,204.0,15595.5,741.31,14854.19,15595.5,76.44852941,76.44852941,0.0,0.0,7,3,0,0,0
11524,117.90690865789054,810.0,34738.52,1648.23,33090.28999999999,34794.0,42.95555556,42.88706173,0.06849383000000131,0.16,7,3,0,0,0
405,117.90690865789054,3216.0,1235207.18,132326.25,1102880.93,1241344.69,385.9902643,384.0818346,1.9084296999999992,0.49,12,2,0,0,0
944,117.90690865789054,1071.0,108612.59,5167.05,103445.54,111310.94,103.9317834,101.4123156,2.519467800000001,2.42,11,1,0,0,1
4778,76.79076914376009,217.454,12097.29,574.51,11522.78,12108.06,55.68101759,55.63148988,0.049527710000006664,0.09,7,3,0,0,1
11524,117.90690865789054,2286.0,47611.06,2265.33,45345.729999999996,47684.0,20.85914261,20.82723535,0.03190726000000055,0.15,9,2,1,0,0
11524,117.90690865789054,156.0,2739.07,129.62,2609.4500000000003,2825.0,18.10897436,17.55814103,0.5508333299999997,3.04,11,1,0,0,0
2024,117.90690865789054,106.0,6216.33,295.65,5920.68,6794.0,64.09433962,58.64462264,5.449716979999998,8.5,2,1,0,0,0
1925,117.90690865789054,146.0,4032.15,191.55,3840.6,4670.5,31.98972603,27.61746575,4.372260279999999,13.67,4,2,0,0,0
11524,117.90690865789054,923.0,210119.18,10002.67,200116.50999999998,213544.3,231.3589382,227.6480823,3.7108559000000128,1.6,10,1,0,0,0
2024,117.90690865789054,124.0,4532.5,209.09,4323.41,5590.0,45.08064516,36.55241935,8.528225810000002,18.92,12,1,0,0,0
11524,66.38739133681929,1160.0,14445.13,685.63,13759.5,14477.7,12.48077586,12.45269828,0.028077579999999713,0.22,8,3,0,0,0
11524,68.14331532565038,9910.0,210987.54,10028.32,200959.22,213600.1,21.55399596,21.29036731,0.26362865000000113,1.22,1,2,0,0,1
944,117.90690865789054,2351.0,81106.29,0.0,81106.29,82284.0,34.99957465,34.49863462,0.5009400300000024,1.43,8,2,0,0,1
11524,117.90690865789054,45.0,538.97,25.63,513.34,4036.0,89.68888889,11.97711111,77.71177778,86.65,9,2,1,0,0
4778,58.95345432894527,1.11,47.73,0.0,47.73,47.73,43.0,43.0,0.0,0.0,7,3,0,0,1
2024,117.90690865789054,136.0,5627.2,267.25,5359.95,7460.0,54.85294118,41.37647059,13.476470590000005,24.57,5,3,0,0,0
11524,117.90690865789054,6914.0,592841.94,28188.84,564653.1,594720.0,86.01677755,85.74514608,0.27163147000000265,0.32,6,3,0,1,0
2365,117.90690865789054,581.0,8021.69,372.65,7649.04,8350.5,14.37263339,13.80669535,0.5659380400000007,3.94,9,2,0,0,1
119,117.90690865789054,18.0,4286.97,204.04,4082.9300000000003,4309.0,239.3888889,238.165,1.22388890000002,0.51,3,2,0,0,1
2365,70.94345432894528,70.0,2415.31,114.54,2300.77,2450.0,35.0,34.50442857,0.49557142999999826,1.42,10,1,0,1,0
1064,117.90690865789054,127.0,8988.2,0.0,8988.2,8999.0,70.85826772,70.77322835,0.08503937000000406,0.12,7,2,0,0,0
4778,117.90690865789054,1.322,76.68,0.0,76.68,76.68,58.00302572,58.00302572,0.0,0.0,8,2,0,0,0
11524,67.28550992665792,4080.0,176951.65,8397.57,168554.08,178367.02,43.71740686,43.37050245,0.3469044100000005,0.79,9,2,0,0,0
11524,117.90690865789054,98.0,134697.85,6413.71,128284.14,138911.0,1417.459184,1374.467857,42.991326999999956,3.03,3,2,0,0,1
2024,80.3435486685679,36.0,1745.24,83.04,1662.2,2340.0,65.0,48.47888889,16.52111111,25.42,10,1,0,1,0
11524,65.61425561099655,68.0,2026.9,96.29,1930.6100000000001,3451.8,50.76176471,29.80735294,20.95441177,41.28,2,2,0,0,0
11524,154.44391478398322,196.0,94877.39,4516.93,90360.45999999999,98883.6,504.5081633,484.0683163,20.439846999999986,4.05,3,2,0,0,1
