,MC,MRP,SP,DIS
57,117.90690865789054,1903.392276,1795.076138,108.31613800000014
99,117.90690865789054,500.0,500.0,0.0
358,602.4984543289452,1659.002816,1656.53139,2.4714259999998376
432,178.22484679328883,1490.188285,1473.744331,16.44395399999985
597,798.6407342260331,1488.134303,1483.429378,4.704925000000003
665,525.6082105491658,2749.469136,1727.753086,1021.7160500000002
712,694.4738380090785,1173.0,1173.0,0.0
1168,144.07124202693143,1796.0,1796.0,0.0
1285,47.13837765524831,2700.0,2553.333333,146.66666699999996
1436,391.39225615664674,2232.0,1660.3916,571.6084000000001
1551,169.14655795611364,495.3417057,77.94739506,417.39431064
1555,93.42994330217488,1400.0,1399.176471,0.8235290000000077
1641,209.5411865535781,213.5185002,67.45633942,146.06216078
1768,789.425253371486,2456.095238,2446.812857,9.282380999999988
1825,139.7516784210462,785.0,785.0,0.0
2088,298.66456204851653,1964.827221,1962.734789,2.092431999999917
2302,330.4347811483664,1411.008379,1411.008379,0.0
2344,812.9256722361162,3619.654206,1672.953271,1946.700935
2394,851.4861656304769,711.0564972,407.0361582,304.020339
2517,418.0823316123739,1993.48,1597.8828,395.59719999999993
2843,254.80715519741963,1558.99679,1558.99679,0.0
2900,211.10463510045005,1449.0,1304.1,144.9000000000001
2915,120.39450062388562,641.0084034,576.907563,64.10084040000004
3116,127.49239698221594,1088.0,1088.0,0.0
3125,175.67444858866818,675.0,675.0,0.0
3533,380.32414142807687,770.0,770.0,0.0
3654,403.14429838903067,756.0,79.38,676.62
3792,401.1925517889412,139.0,139.0,0.0
4086,448.4351458644089,1.777777778,1.777777778,0.0
4244,464.5143312727568,644.0,0.72,643.28
4338,120.54239562607408,933.0,1.046666667,931.953333333
4544,165.4209076471391,1505.924171,1466.730616,39.19355499999983
4554,231.1205866685005,2150.5,2.41,2148.09
4669,774.7993508111987,127.5714286,111.7442857,15.827142899999998
4910,257.2952423001138,2140.548387,2140.548387,0.0
4985,302.8105728163744,800.0757576,2.344848485,797.730909115
5067,443.6246358296612,1635.568132,1601.941663,33.62646900000004
5117,400.38813274189454,590.0,590.0,0.0
5286,311.7848365507781,35.0,35.0,0.0
5322,780.0479688826666,1356.75,696.1975,660.5525
5399,304.88126155521815,1940.0,1932.3536,7.646400000000085
